Experience|,Education|,Performance
8|, Masters|, Average 
8|,School |, Average 
2|,School |, Average 
10|, Associate |, Average 
1|, Masters|, Average 
8|,School |,Excellent 
1|, Associate |, Poor
5|,School |, Average 
10|,School |, Average 
7|, Masters|, Poor
4|, Masters|, Poor
4|, Masters|, Average 
3|, Bachelors |,Excellent 
3|,School |,Excellent 
1|, Bachelors |, Poor
3|,School |, Poor
8|,School |,Excellent 
2|, Masters|, Poor
8|, Associate |, Poor
9|, Bachelors |, Poor
5|,School |,Excellent 
6|, Masters|, Average 
9|, Masters|, Average 
1|, Bachelors |, Average 
8|, Masters|, Poor
3|, Masters|,Excellent 
10|, Bachelors |, Average 
1|, Bachelors |, Average 
6|,School |,Excellent 
4|, Bachelors |, Average 
3|, Associate |, Average 
3|,School |, Average 
6|, Masters|, Average 
9|, Associate |, Average 
2|, Masters|, Poor
2|, Masters|, Poor
7|, Associate |,Excellent 
8|, Masters|, Average 
9|, Masters|, Average 
2|, Associate |,Excellent 
7|, Associate |,Excellent 
10|,School |, Average 
6|,School |, Average 
9|, Associate |, Poor
5|,School |, Average 
1|, Associate |, Poor
8|, Associate |, Poor
9|, Bachelors |,Excellent 
2|, Bachelors |, Poor
5|, Masters|, Poor
6|,School |,Excellent 
8|,School |, Poor
4|,School |, Poor
2|, Bachelors |,Excellent 
7|, Bachelors |, Average 
7|,School |,Excellent 
3|, Masters|, Poor
9|, Associate |, Poor
3|, Masters|, Poor
3|, Masters|, Average 
1|, Bachelors |, Average 
7|, Associate |, Average 
7|,School |,Excellent 
5|, Bachelors |, Poor
6|, Bachelors |, Average 
1|,School |,Excellent 
8|, Associate |,Excellent 
7|, Bachelors |, Poor
4|, Bachelors |, Average 
10|,School |,Excellent 
1|, Masters|, Average 
3|, Bachelors |,Excellent 
5|,School |, Poor
1|,School |, Average 
1|, Masters|, Poor
10|, Masters|, Average 
1|, Masters|, Average 
8|, Bachelors |, Poor
4|, Associate |,Excellent 
5|,School |, Poor
6|, Bachelors |,Excellent 
2|, Masters|,Excellent 
9|, Masters|, Poor
2|, Associate |, Poor
1|, Associate |, Poor
4|, Masters|, Average 
8|, Associate |, Average 
8|, Bachelors |, Poor
5|,School |,Excellent 
2|,School |, Poor
7|, Masters|,Excellent 
7|,School |, Average 
7|, Associate |,Excellent 
5|, Masters|, Average 
3|, Bachelors |,Excellent 
4|, Bachelors |, Average 
6|, Bachelors |, Poor
4|, Associate |,Excellent 
5|, Masters|, Poor
10|, Associate |,Excellent 
